period,sector,forecast_megawatthours,lower_95,upper_95,actual_megawatthours,residential_price_cents_kwh
2023-01-01,residential,15022349.356415544,13121678.2042525,16923020.508578587,12993366.0,14.36
2023-02-01,residential,14474629.65369749,11930365.867323775,17018893.440071207,11690349.0,14.72
2023-03-01,residential,13900373.9782606,10780742.092277646,17020005.864243552,10512638.0,14.61
2023-04-01,residential,13469584.186640125,9895907.957714478,17043260.415565774,9579895.6,14.36
2023-05-01,residential,15546149.722679742,11555057.910351217,19537241.535008267,11490172.0,14.65
2023-06-01,residential,20439282.336876996,16077897.937902197,24800666.735851794,15989221.0,14.35
2023-07-01,residential,24482556.018701307,19776209.75897781,29188902.278424803,20557605.0,13.95
2023-08-01,residential,24298575.573692128,19272785.55851059,29324365.588873666,22481421.0,14.17
2023-09-01,residential,21172415.97817894,15845329.941938728,26499502.014419153,18996593.0,14.68
2023-10-01,residential,17110771.03692597,11499045.716856409,22722496.356995534,13099635.0,14.89
2023-11-01,residential,15441080.1447637,9558210.319862597,21323949.969664805,10148357.0,14.79
2023-12-01,residential,16796453.715250637,10654534.014515486,22938373.41598579,11071623.0,14.64
2024-01-01,residential,19550730.454317972,12713879.497779587,26387581.41085636,14427079.0,14.35
2024-02-01,residential,19496953.730590045,12083398.824104879,26910508.63707521,11404460.0,14.48
2024-03-01,residential,17508681.152480185,9533080.583929298,25484281.72103107,9450324.0,15.02
2024-04-01,residential,16290009.59652016,7803330.659362908,24776688.53367741,9754682.9,15.13
2024-05-01,residential,19655257.47610686,10679448.479862174,28631066.472351544,12784104.0,14.83
2024-06-01,residential,24504055.12194787,15068119.807219144,33939990.43667659,17114451.0,14.55
2024-07-01,residential,27347581.756257225,17471019.49770598,37224144.01480847,18865604.0,14.7
2024-08-01,residential,27250677.72613246,16953324.972502835,37548030.479762085,19878284.0,14.88
2024-09-01,residential,24844704.6058349,14142570.41754874,35546838.794121064,16336670.0,15.06
2024-10-01,residential,19910181.005215056,8818302.017989818,31002059.992440294,13543100.0,15.67
2024-11-01,residential,18000498.24974744,6531967.3845668435,29469029.114928037,10425468.0,15.68
2024-12-01,residential,19726801.44193859,7893677.75087096,31559925.133006223,11067517.0,15.36
2025-01-01,residential,23332085.404904768,10791370.611416688,35872800.198392846,15169810.0,14.68
2025-02-01,residential,23103739.782541893,9935530.278731182,36271949.286352605,13293125.0,14.89
2025-03-01,residential,21399135.912885938,7610169.859054167,35188101.966717705,10984884.0,15.3
2025-04-01,residential,19874976.5211069,5503449.202566342,34246503.83964746,10600328.0,15.55
2025-05-01,residential,22716534.52317165,7779186.396539507,37653882.64980379,12975735.0,15.49
2025-06-01,residential,27521690.808669854,12042323.889393998,43001057.72794571,16448338.0,15.23
2025-07-01,residential,30408858.590877783,14404170.625533966,46413546.5562216,19128723.0,15.36
2025-08-01,residential,30508338.448129706,13995902.565672288,47020774.33058713,19766971.0,15.45
2025-09-01,residential,27644136.010633983,10638646.654630624,44649625.36663734,16606481.0,15.84
